job,marital,h_loan,p_loan,month,day_of_week,poutcome
admin.,married,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,divorced,yes,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
management,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
entrepreneur,married,yes,no,may,mon,nonexistent
technician,single,no,yes,may,mon,nonexistent
admin.,divorced,no,no,may,mon,nonexistent
management,married,no,no,may,mon,nonexistent
admin.,married,yes,yes,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
admin.,married,no,yes,may,mon,nonexistent
unemployed,married,no,no,may,mon,nonexistent
blue-collar,married,no,yes,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
management,married,no,no,may,mon,nonexistent
admin.,divorced,no,no,may,mon,nonexistent
technician,single,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
admin.,divorced,no,no,may,mon,nonexistent
admin.,divorced,no,no,may,mon,nonexistent
services,single,no,no,may,mon,nonexistent
housemaid,married,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
entrepreneur,married,yes,no,may,mon,nonexistent
technician,married,yes,yes,may,mon,nonexistent
retired,divorced,no,no,may,mon,nonexistent
unemployed,married,no,no,may,mon,nonexistent
services,divorced,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
management,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
admin.,divorced,no,no,may,mon,nonexistent
blue-collar,divorced,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,divorced,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,divorced,no,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
admin.,married,yes,yes,may,mon,nonexistent
admin.,married,no,yes,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
technician,divorced,yes,yes,may,mon,nonexistent
retired,married,yes,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,yes,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
management,married,no,no,may,mon,nonexistent
management,divorced,no,no,may,mon,nonexistent
housemaid,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
unemployed,single,yes,no,may,mon,nonexistent
management,married,yes,no,may,mon,nonexistent
management,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
admin.,divorced,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
admin.,single,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
entrepreneur,married,yes,no,may,mon,nonexistent
services,divorced,yes,no,may,mon,nonexistent
entrepreneur,married,no,no,may,mon,nonexistent
blue-collar,married,yes,yes,may,mon,nonexistent
blue-collar,married,yes,yes,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
technician,single,yes,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
management,single,yes,no,may,mon,nonexistent
blue-collar,single,yes,yes,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
services,divorced,no,no,may,mon,nonexistent
entrepreneur,married,no,no,may,mon,nonexistent
services,married,yes,yes,may,mon,nonexistent
admin.,divorced,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
management,divorced,yes,no,may,mon,nonexistent
blue-collar,married,no,yes,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
technician,married,yes,yes,may,mon,nonexistent
admin.,single,no,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
management,married,no,no,may,mon,nonexistent
services,married,yes,yes,may,mon,nonexistent
admin.,single,no,no,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,yes,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
management,married,no,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
retired,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
blue-collar,single,yes,no,may,mon,nonexistent
management,divorced,no,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
blue-collar,single,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,single,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
services,single,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
student,single,no,no,may,mon,nonexistent
student,single,yes,yes,may,mon,nonexistent
unemployed,married,no,no,may,mon,nonexistent
services,single,no,no,may,mon,nonexistent
student,single,yes,no,may,mon,nonexistent
student,single,yes,no,may,mon,nonexistent
housemaid,divorced,no,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
retired,married,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
housemaid,married,yes,no,may,mon,nonexistent
blue-collar,single,yes,no,may,mon,nonexistent
blue-collar,single,yes,yes,may,mon,nonexistent
housemaid,married,no,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
services,single,yes,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
retired,married,no,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
admin.,single,no,no,may,mon,nonexistent
retired,married,no,no,may,mon,nonexistent
blue-collar,married,yes,yes,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
services,divorced,yes,no,may,mon,nonexistent
management,divorced,yes,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
self-employed,married,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
services,married,no,yes,may,mon,nonexistent
management,married,no,yes,may,mon,nonexistent
retired,married,no,no,may,mon,nonexistent
technician,single,no,no,may,mon,nonexistent
management,married,yes,no,may,mon,nonexistent
services,single,no,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
services,divorced,no,no,may,mon,nonexistent
technician,single,no,no,may,mon,nonexistent
technician,single,yes,no,may,mon,nonexistent
blue-collar,single,no,yes,may,mon,nonexistent
services,single,no,no,may,mon,nonexistent
technician,divorced,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
services,married,yes,yes,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
management,married,no,yes,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
admin.,married,no,yes,may,mon,nonexistent
admin.,married,no,yes,may,mon,nonexistent
blue-collar,single,yes,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
admin.,divorced,no,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
blue-collar,single,no,no,may,mon,nonexistent
self-employed,single,yes,no,may,mon,nonexistent
student,single,no,no,may,mon,nonexistent
management,divorced,no,no,may,mon,nonexistent
self-employed,married,no,no,may,mon,nonexistent
unemployed,married,yes,no,may,mon,nonexistent
management,divorced,no,no,may,mon,nonexistent
housemaid,married,no,no,may,mon,nonexistent
admin.,single,no,no,may,mon,nonexistent
housemaid,single,yes,yes,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
technician,single,no,no,may,mon,nonexistent
retired,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,divorced,yes,no,may,mon,nonexistent
blue-collar,divorced,no,no,may,mon,nonexistent
housemaid,married,yes,no,may,mon,nonexistent
admin.,single,yes,yes,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
management,divorced,yes,no,may,mon,nonexistent
admin.,married,yes,yes,may,mon,nonexistent
technician,divorced,no,yes,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
technician,single,yes,no,may,mon,nonexistent
self-employed,married,no,no,may,mon,nonexistent
blue-collar,divorced,no,yes,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
services,divorced,no,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
services,single,no,no,may,mon,nonexistent
blue-collar,divorced,no,yes,may,mon,nonexistent
retired,married,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
housemaid,divorced,yes,yes,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
management,divorced,yes,no,may,mon,nonexistent
admin.,single,no,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
management,married,yes,no,may,mon,nonexistent
admin.,single,no,no,may,mon,nonexistent
admin.,divorced,no,no,may,mon,nonexistent
retired,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
management,single,yes,no,may,mon,nonexistent
admin.,single,yes,yes,may,mon,nonexistent
technician,single,no,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
technician,married,yes,yes,may,mon,nonexistent
housemaid,single,no,no,may,mon,nonexistent
admin.,single,yes,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
services,single,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
management,married,yes,no,may,mon,nonexistent
self-employed,single,no,yes,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
entrepreneur,married,yes,no,may,mon,nonexistent
technician,single,yes,no,may,mon,nonexistent
blue-collar,single,yes,yes,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
management,married,no,no,may,mon,nonexistent
management,married,yes,no,may,mon,nonexistent
services,single,yes,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,divorced,yes,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
services,divorced,no,no,may,mon,nonexistent
blue-collar,single,yes,no,may,mon,nonexistent
entrepreneur,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
technician,married,no,no,may,mon,nonexistent
management,married,no,no,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
unemployed,single,no,no,may,mon,nonexistent
blue-collar,single,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
entrepreneur,married,yes,no,may,mon,nonexistent
unemployed,divorced,no,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
self-employed,married,yes,no,may,tue,nonexistent
admin.,divorced,no,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
management,divorced,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
blue-collar,married,no,yes,may,tue,nonexistent
admin.,single,yes,no,may,tue,nonexistent
blue-collar,single,yes,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
admin.,single,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
admin.,married,yes,yes,may,tue,nonexistent
blue-collar,single,no,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
management,single,no,no,may,tue,nonexistent
student,single,no,no,may,tue,nonexistent
management,married,yes,yes,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
self-employed,married,no,no,may,tue,nonexistent
housemaid,married,yes,yes,may,tue,nonexistent
admin.,single,yes,yes,may,tue,nonexistent
services,married,yes,no,may,tue,nonexistent
retired,unknown,no,no,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
blue-collar,divorced,no,no,may,tue,nonexistent
self-employed,married,yes,yes,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
services,single,no,no,may,tue,nonexistent
services,married,yes,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
unemployed,married,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
entrepreneur,married,yes,no,may,tue,nonexistent
services,divorced,no,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
services,married,no,yes,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
technician,married,no,yes,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
retired,unknown,no,no,may,tue,nonexistent
entrepreneur,married,yes,no,may,tue,nonexistent
blue-collar,married,yes,yes,may,tue,nonexistent
self-employed,single,yes,yes,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
services,married,yes,no,may,tue,nonexistent
technician,single,yes,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
entrepreneur,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
self-employed,divorced,no,no,may,tue,nonexistent
self-employed,married,no,no,may,tue,nonexistent
self-employed,single,yes,no,may,tue,nonexistent
services,single,yes,yes,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
housemaid,married,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
admin.,divorced,no,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
technician,married,no,yes,may,tue,nonexistent
housemaid,married,no,no,may,tue,nonexistent
blue-collar,divorced,no,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
technician,married,no,yes,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
blue-collar,married,no,yes,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
student,single,yes,no,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
unemployed,single,yes,no,may,tue,nonexistent
housemaid,married,no,no,may,tue,nonexistent
blue-collar,married,no,yes,may,tue,nonexistent
admin.,single,no,no,may,tue,nonexistent
technician,divorced,no,no,may,tue,nonexistent
self-employed,married,yes,no,may,tue,nonexistent
blue-collar,single,yes,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
admin.,married,yes,yes,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
technician,single,yes,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
admin.,divorced,no,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
blue-collar,divorced,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
retired,married,no,no,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
technician,single,no,yes,may,tue,nonexistent
services,married,yes,no,may,tue,nonexistent
retired,married,no,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
management,married,yes,yes,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
admin.,single,no,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
housemaid,married,no,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
unemployed,married,no,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
admin.,single,yes,no,may,tue,nonexistent
services,married,yes,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
admin.,divorced,yes,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
entrepreneur,married,no,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
services,divorced,yes,no,may,tue,nonexistent
services,married,yes,no,may,tue,nonexistent
entrepreneur,married,no,no,may,tue,nonexistent
technician,single,no,no,may,tue,nonexistent
admin.,single,yes,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
entrepreneur,married,no,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
services,married,yes,yes,may,tue,nonexistent
entrepreneur,married,yes,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
housemaid,single,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
admin.,single,yes,no,may,tue,nonexistent
services,single,no,no,may,tue,nonexistent
admin.,divorced,yes,yes,may,tue,nonexistent
technician,divorced,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
services,married,yes,yes,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
admin.,single,yes,yes,may,tue,nonexistent
blue-collar,single,no,no,may,tue,nonexistent
admin.,single,no,no,may,tue,nonexistent
self-employed,married,no,no,may,tue,nonexistent
self-employed,married,no,no,may,tue,nonexistent
blue-collar,single,no,no,may,tue,nonexistent
technician,married,no,yes,may,tue,nonexistent
entrepreneur,single,yes,no,may,tue,nonexistent
self-employed,single,yes,no,may,tue,nonexistent
admin.,married,yes,yes,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
admin.,divorced,no,yes,may,tue,nonexistent
admin.,single,yes,yes,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
admin.,single,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
entrepreneur,married,no,no,may,tue,nonexistent
retired,married,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
technician,married,no,yes,may,tue,nonexistent
blue-collar,married,no,yes,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
blue-collar,single,no,no,may,tue,nonexistent
blue-collar,married,yes,yes,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
blue-collar,married,yes,yes,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
admin.,divorced,yes,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
admin.,single,no,no,may,tue,nonexistent
unemployed,married,yes,no,may,tue,nonexistent
entrepreneur,married,yes,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
retired,married,yes,yes,may,tue,nonexistent
housemaid,married,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
admin.,divorced,no,no,may,tue,nonexistent
services,married,no,yes,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
technician,single,no,yes,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
admin.,single,no,yes,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
services,single,yes,no,may,tue,nonexistent
management,married,no,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
admin.,divorced,yes,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
admin.,single,yes,yes,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
admin.,single,yes,no,may,tue,nonexistent
admin.,single,no,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
blue-collar,married,no,yes,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
admin.,married,no,no,may,tue,nonexistent
blue-collar,single,no,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
blue-collar,married,no,no,may,tue,nonexistent
technician,married,yes,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
admin.,divorced,yes,yes,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
blue-collar,single,yes,yes,may,tue,nonexistent
blue-collar,married,yes,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
services,single,no,no,may,tue,nonexistent
admin.,married,yes,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
technician,married,no,no,may,tue,nonexistent
admin.,single,no,no,may,tue,nonexistent
services,married,no,no,may,tue,nonexistent
management,single,no,no,may,tue,nonexistent
management,married,yes,no,may,tue,nonexistent
technician,single,yes,no,may,tue,nonexistent
admin.,married,yes,yes,may,tue,nonexistent
admin.,single,no,no,may,tue,nonexistent
